Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;A-Condutor Moto;181
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AB-Condutor Moto/Carro;11866
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AC-Condutor Moto/Caminhão;14
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AD-Condutor Moto/Ônibus;42
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AE-Condutor Moto/Carreta;3
Centro-Oeste;Distrito Federal;Masculino;18 a 21;B-Condutor Carro;20032
Centro-Oeste;Distrito Federal;Masculino;18 a 21;C-Condutor Caminhão;11
Centro-Oeste;Distrito Federal;Masculino;18 a 21;D-Condutor Ônibus;26
Centro-Oeste;Distrito Federal;Masculino;18 a 21;E-Condutor Carreta;2
Centro-Oeste;Distrito Federal;Masculino;22 a 25;A-Condutor Moto;683
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AB-Condutor Moto/Carro;26528
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AC-Condutor Moto/Caminhão;29
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AD-Condutor Moto/Ônibus;1459
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AE-Condutor Moto/Carreta;77
Centro-Oeste;Distrito Federal;Masculino;22 a 25;B-Condutor Carro;38489
Centro-Oeste;Distrito Federal;Masculino;22 a 25;C-Condutor Caminhão;13
Centro-Oeste;Distrito Federal;Masculino;22 a 25;D-Condutor Ônibus;527
Centro-Oeste;Distrito Federal;Masculino;22 a 25;E-Condutor Carreta;27
Centro-Oeste;Distrito Federal;Masculino;26 a 30;A-Condutor Moto;1196
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AB-Condutor Moto/Carro;41648
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AC-Condutor Moto/Caminhão;46
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AD-Condutor Moto/Ônibus;5692
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AE-Condutor Moto/Carreta;726
Centro-Oeste;Distrito Federal;Masculino;26 a 30;B-Condutor Carro;51081
Centro-Oeste;Distrito Federal;Masculino;26 a 30;C-Condutor Caminhão;19
Centro-Oeste;Distrito Federal;Masculino;26 a 30;D-Condutor Ônibus;2363
Centro-Oeste;Distrito Federal;Masculino;26 a 30;E-Condutor Carreta;146
Centro-Oeste;Distrito Federal;Masculino;31 a 40;A-Condutor Moto;2602
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AB-Condutor Moto/Carro;87218
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AC-Condutor Moto/Caminhão;238
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AD-Condutor Moto/Ônibus;24150
