Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;A-Condutor Moto;127
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AB-Condutor Moto/Carro;10657
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AC-Condutor Moto/Caminhão;8
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AD-Condutor Moto/Ônibus;31
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AE-Condutor Moto/Carreta;2
Centro-Oeste;Distrito Federal;Masculino;18 a 21;B-Condutor Carro;16875
Centro-Oeste;Distrito Federal;Masculino;18 a 21;C-Condutor Caminhão;6
Centro-Oeste;Distrito Federal;Masculino;18 a 21;D-Condutor Ônibus;11
Centro-Oeste;Distrito Federal;Masculino;22 a 25;A-Condutor Moto;446
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AB-Condutor Moto/Carro;23817
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AC-Condutor Moto/Caminhão;23
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AD-Condutor Moto/Ônibus;1039
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AE-Condutor Moto/Carreta;92
Centro-Oeste;Distrito Federal;Masculino;22 a 25;B-Condutor Carro;30940
Centro-Oeste;Distrito Federal;Masculino;22 a 25;C-Condutor Caminhão;14
Centro-Oeste;Distrito Federal;Masculino;22 a 25;D-Condutor Ônibus;399
Centro-Oeste;Distrito Federal;Masculino;22 a 25;E-Condutor Carreta;31
Centro-Oeste;Distrito Federal;Masculino;26 a 30;A-Condutor Moto;874
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AB-Condutor Moto/Carro;39585
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AC-Condutor Moto/Caminhão;30
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AD-Condutor Moto/Ônibus;3822
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AE-Condutor Moto/Carreta;516
Centro-Oeste;Distrito Federal;Masculino;26 a 30;B-Condutor Carro;50725
Centro-Oeste;Distrito Federal;Masculino;26 a 30;C-Condutor Caminhão;20
Centro-Oeste;Distrito Federal;Masculino;26 a 30;D-Condutor Ônibus;1378
Centro-Oeste;Distrito Federal;Masculino;26 a 30;E-Condutor Carreta;123
Centro-Oeste;Distrito Federal;Masculino;31 a 40;A-Condutor Moto;2225
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AB-Condutor Moto/Carro;91808
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AC-Condutor Moto/Caminhão;139
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AD-Condutor Moto/Ônibus;19166
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AE-Condutor Moto/Carreta;3686
Centro-Oeste;Distrito Federal;Masculino;31 a 40;B-Condutor Carro;108220
Centro-Oeste;Distrito Federal;Masculino;31 a 40;C-Condutor Caminhão;64
Centro-Oeste;Distrito Federal;Masculino;31 a 40;D-Condutor Ônibus;7608
Centro-Oeste;Distrito Federal;Masculino;31 a 40;E-Condutor Carreta;850
Centro-Oeste;Distrito Federal;Masculino;31 a 40;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;41 a 50;A-Condutor Moto;1789
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AB-Condutor Moto/Carro;68371
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AC-Condutor Moto/Caminhão;815
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AD-Condutor Moto/Ônibus;27068
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AE-Condutor Moto/Carreta;6089
Centro-Oeste;Distrito Federal;Masculino;41 a 50;B-Condutor Carro;117120
Centro-Oeste;Distrito Federal;Masculino;41 a 50;C-Condutor Caminhão;733
Centro-Oeste;Distrito Federal;Masculino;41 a 50;D-Condutor Ônibus;19437
Centro-Oeste;Distrito Federal;Masculino;41 a 50;E-Condutor Carreta;3014
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XC-Condutor Ciclomotor/Caminhão;2
Centro-Oeste;Distrito Federal;Masculino;51 a 60;A-Condutor Moto;797
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AB-Condutor Moto/Carro;34891
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AC-Condutor Moto/Caminhão;2082
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AD-Condutor Moto/Ônibus;17383
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AE-Condutor Moto/Carreta;3210
Centro-Oeste;Distrito Federal;Masculino;51 a 60;B-Condutor Carro;86843
Centro-Oeste;Distrito Federal;Masculino;51 a 60;C-Condutor Caminhão;1906
Centro-Oeste;Distrito Federal;Masculino;51 a 60;D-Condutor Ônibus;20267
Centro-Oeste;Distrito Federal;Masculino;51 a 60;E-Condutor Carreta;2668
Centro-Oeste;Distrito Federal;Masculino;51 a 60;XB-Condutor Ciclomotor/Carro;4
Centro-Oeste;Distrito Federal;Masculino;61 a 70;A-Condutor Moto;269
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AB-Condutor Moto/Carro;16633
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AC-Condutor Moto/Caminhão;1125
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AD-Condutor Moto/Ônibus;6902
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AE-Condutor Moto/Carreta;1154
Centro-Oeste;Distrito Federal;Masculino;61 a 70;B-Condutor Carro;60204
Centro-Oeste;Distrito Federal;Masculino;61 a 70;C-Condutor Caminhão;1999
Centro-Oeste;Distrito Federal;Masculino;61 a 70;D-Condutor Ônibus;14692
Centro-Oeste;Distrito Federal;Masculino;61 a 70;E-Condutor Carreta;1889
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Distrito Federal;Masculino;71 a 80;A-Condutor Moto;51
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AB-Condutor Moto/Carro;5009
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AC-Condutor Moto/Caminhão;157
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AD-Condutor Moto/Ônibus;1352
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AE-Condutor Moto/Carreta;162
Centro-Oeste;Distrito Federal;Masculino;71 a 80;B-Condutor Carro;41612
Centro-Oeste;Distrito Federal;Masculino;71 a 80;C-Condutor Caminhão;1047
Centro-Oeste;Distrito Federal;Masculino;71 a 80;D-Condutor Ônibus;7060
Centro-Oeste;Distrito Federal;Masculino;71 a 80;E-Condutor Carreta;626
Centro-Oeste;Distrito Federal;Masculino;71 a 80;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;81 a 90;A-Condutor Moto;19
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AB-Condutor Moto/Carro;1321
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AC-Condutor Moto/Caminhão;43
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AD-Condutor Moto/Ônibus;334
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AE-Condutor Moto/Carreta;11
